HGDP00511 HGDP00512 HGDP00513 HGDP00514 HGDP00515 HGDP00516 HGDP00517 HGDP00518 HGDP00519 HGDP00522 HGDP00523 HGDP00524 HGDP00525 HGDP00526 HGDP00527 HGDP00528 HGDP00529 HGDP00531 HGDP00533 HGDP00534 HGDP00535 HGDP00536 HGDP00537 HGDP00538 HGDP00539 HGDP00774 HGDP00775 HGDP00776 HGDP00777 HGDP00779 HGDP00780 HGDP00781 HGDP00782 HGDP00783 HGDP00784 HGDP00785 HGDP00786 HGDP00811 HGDP00812 HGDP00813 HGDP00814 HGDP00815 HGDP00817 HGDP00818 HGDP00819 HGDP00820 HGDP00821 HGDP00822 HGDP00920 HGDP00924 HGDP00925 HGDP00926 HGDP00928 HGDP00929 HGDP00930 HGDP00931 HGDP00932 HGDP00933 HGDP00934 HGDP00935 HGDP00936 HGDP00937 HGDP00938 HGDP00939 HGDP00940 HGDP00941 HGDP00942 HGDP00943 HGDP00944 HGDP00971 HGDP00972 HGDP00973 HGDP00974 HGDP00975 HGDP00976 HGDP00977 HGDP01021 HGDP01023 HGDP01024 NA18501 NA18504 NA18505 NA18507 NA18508 NA18516 NA18517 NA18522 NA18852 NA18853 NA18855 NA18856 NA18858 NA18859 NA18861 NA18862 NA18870 NA18871 NA19093 NA19098 NA19099 NA19101 NA19102 NA19116 NA19119 NA19127 NA19128 NA19130 NA19131 NA19137 NA19138 NA19141 NA19143 NA19144 NA19159 NA19160 NA19171 NA19193 NA19201 NA19203 NA19204 NA19206 NA19207 NA19209 NA19210 NA19222 NA19223 NA19238 NA19239 SAMPLE
HGDP00511 1.14698009990998 0.250729840684037 0.241643854151146 0.243800218349589 0.244279125636883 0.246863545989238 0.254825349514195 0.251547677108683 0.253196084849906 0.249453230928027 0.249765204202408 0.251750959378627 0.249477654845345 0.249576610055094 0.250858806002799 0.249213617840451 0.243994694809067 0.24786475657016 0.261860235945496 0.24529803347874 0.253146321216318 0.248009975000107 0.246334325285245 0.244692605548586 0.251698696806744 0.051842117336004 0.0497238089795916 0.0511658714973184 0.0621776751328992 0.0555385570878643 0.0606233602634884 0.0535089946037122 0.0581108494141229 0.0559748778814309 0.0529487697551913 0.0671390053008563 0.0545028037623762 0.0447388710872789 0.0538024797131793 0.0537825222313992 0.0605875071653158 0.0605280615342098 0.0573781711993687 0.047118145551395 0.0498724084131292 0.0605897964290635 0.0555440808495594 0.0492777344530531 -0.128946084439139 -0.126654196881211 -0.126332989567005 -0.131083941069694 -0.13089559924011 -0.127341668787399 -0.12450436340794 -0.124895734792626 -0.127956496817661 -0.126843783152409 -0.127896873246231 -0.128379731171595 -0.133347147449898 -0.124865592520722 -0.126942086994845 -0.124633509769728 -0.131478925670651 -0.131072471239341 -0.123346177585478 -0.128999613607316 -0.128707955964692 0.0618075735961732 0.056281368059048 0.0579328193467991 0.0556353578848942 0.0557280995414219 0.0599259196019682 0.0518478400075477 0.0559876926548484 0.0525024562587664 0.0609014939019747 -0.126874090931676 -0.127745506379807 -0.136921553794105 -0.130416996038776 -0.128525002833681 -0.126390997728641 -0.124123309479912 -0.127234880228557 -0.124094458667475 -0.131886496696178 -0.127850540866743 -0.127854435347638 -0.121438924845499 -0.127912254128959 -0.127902563019305 -0.132777991802789 -0.127004808581705 -0.130597621539891 -0.132548718921036 -0.128687006726799 -0.13155118791776 -0.125479718947458 -0.126736757070295 -0.132988487688443 -0.125919758040976 -0.128916008065654 -0.12593821873768 -0.127278733692842 -0.124095851133103 -0.124394642844574 -0.129563033222244 -0.127780286094447 -0.130654371536591 -0.126321162911844 -0.126083683815446 -0.13079629895202 -0.124389357345863 -0.12616805824 -0.127187707635459 -0.130953503791597 -0.126120198446244 -0.125161441427192 -0.132149732215396 -0.131692947971897 -0.123026609414403 -0.128517257155083 -0.128173258234115 -0.127348681166745 -0.12973287375263 -0.0194568407750568
HGDP00512 0.250729840684037 1.16055057330564 0.246200022409261 0.247953413380738 0.245489376893473 0.246541695390972 0.247908736422034 0.250175018369417 0.246420687101432 0.250487009086453 0.248842721514956 0.245660473348736 0.244817491963719 0.246293863010715 0.254401802830253 0.245813954292641 0.241932427267615 0.252408089785591 0.254940266983907 0.244039940142012 0.249547758354251 0.238954771886057 0.244493175781445 0.245273350332054 0.253158379193677 0.0538744645931003 0.0525562045529237 0.0565536777132615 0.0674848833136122 0.0605199082152236 0.0644950378848834 0.0575880650679989 0.059622713964547 0.0657983467609287 0.0565640977590186 0.055999911945068 0.0502412602438645 0.0486683054621531 0.0651798215983869 0.0549566292170483 0.0567246408752031 0.0583248965986413 0.0553917533610915 0.0509249016415775 0.0528896822846413 0.059886684483702 0.054295182635516 0.054869179330736 -0.12692974985819 -0.126747205529086 -0.123154878395546 -0.131699497967391 -0.124701641431261 -0.131684208475984 -0.129713069102787 -0.120353408149482 -0.130191891062359 -0.131343395160178 -0.127909793812854 -0.131366196506142 -0.127391203562416 -0.130539623786289 -0.126185575063785 -0.125960707297217 -0.12565579198628 -0.129159600404653 -0.129337390077833 -0.125771125329316 -0.122394619013513 0.0569860845647844 0.0579726247894995 0.0597005041450413 0.0567532033715993 0.0568729304251182 0.0531284051436348 0.0538672815811753 0.0542313324869113 0.0546750563442049 0.0615012768547032 -0.129929550380849 -0.12798846598703 -0.130743354059141 -0.129189481467572 -0.129455521445678 -0.131913354805392 -0.122835820113068 -0.125919355611223 -0.121884534127311 -0.133646183097478 -0.1244127202351 -0.130600793452817 -0.127718418195922 -0.130861543890175 -0.127381230718709 -0.124212855033337 -0.125315752174277 -0.128741473670292 -0.123163319950563 -0.12740017016045 -0.135271621766534 -0.125830414243656 -0.125041418132057 -0.129286612156745 -0.130107643821304 -0.133199099663235 -0.120254133516563 -0.125582196065596 -0.127600080689684 -0.123717673863201 -0.125023034639793 -0.128502025682148 -0.123320770877115 -0.127896624641478 -0.127196202943535 -0.128656579950408 -0.128705608374129 -0.128205751294113 -0.125612843114239 -0.129425332920445 -0.125077532320641 -0.131406621767039 -0.129748699484563 -0.128524983077714 -0.127912804367554 -0.130913989581171 -0.126645440300247 -0.124099524140381 -0.131738217985327 -0.0120100287970117
HGDP00513 0.241643854151146 0.246200022409261 1.14951383491309 0.247709392825665 0.246908433640137 0.250638586947794 0.237850288462949 0.245928099159438 0.251240055405367 0.245277074460337 0.251118179344735 0.239566926836474 0.240301489251084 0.241784808434547 0.237557945101067 0.240691897542547 0.244654985694101 0.247653197505634 0.260275711194589 0.231010084130461 0.250878270022055 0.239150845373342 0.240021500350724 0.243324547708239 0.245497619001492 0.0528670358605417 0.0547749760181541 0.0518277028159235 0.0666282027118331 0.0621191500102432 0.0594929159094922 0.0595549776241398 0.0629067697798329 0.057808462320923 0.0592653295591928 0.0630098042434293 0.0547777816250793 0.0584732225894525 0.0554936387378272 0.0553817558761777 0.0595613696051915 0.0527785059986829 0.0588199813557976 0.0499976752102256 0.0511276106957213 0.0595742411823767 0.0574640648951716 0.0556508269158982 -0.124579816501948 -0.124140828048208 -0.123296496075848 -0.126641879486219 -0.131284562724451 -0.12556253227118 -0.125011397376351 -0.119289730845692 -0.127435681635616 -0.125758499402371 -0.123246808048837 -0.124433908708604 -0.133779627781825 -0.123107419472961 -0.124124218912286 -0.127193778548018 -0.132258083623307 -0.12385809923055 -0.128035150542947 -0.129919309880485 -0.129281454186481 0.0632008002547627 0.0582003566852309 0.0565394420056372 0.0535362257836779 0.0543601220664165 0.0551032992323236 0.0589467515910192 0.0569926173345805 0.0597993726820164 0.0665137174680864 -0.127486585989132 -0.127975960277578 -0.132186323358424 -0.128687423464077 -0.127750867006898 -0.129462305289749 -0.126550517499558 -0.12630417579099 -0.124362859307123 -0.133475140900851 -0.122953834035537 -0.129217528122402 -0.131950408692055 -0.12740707213455 -0.127875604092088 -0.129405180579829 -0.133367956684981 -0.131389549972296 -0.12736103258483 -0.12408024498153 -0.128101713354817 -0.125778364616202 -0.125134610972507 -0.125159306621368 -0.125935307188305 -0.127656544613159 -0.12022925012766 -0.124239261221859 -0.128321856562101 -0.123991725839291 -0.12459504809133 -0.132092908428784 -0.127494414267924 -0.129394967780592 -0.131608459170349 -0.132678677330801 -0.12364858468807 -0.11976003566838 -0.131985971124161 -0.131824482030349 -0.124553297274345 -0.126840211647065 -0.133470455442906 -0.125870453778736 -0.126227880265438 -0.125696274776891 -0.128691277416226 -0.125779855923319 -0.128627336995924 -0.00616745151627671
HGDP00514 0.243800218349589 0.247953413380738 0.247709392825665 1.19356806882955 0.242445341307253 0.248295677264289 0.248415527040288 0.240821527581739 0.251498080917148 0.258675069366194 0.253431638370409 0.251627353462805 0.244301772828904 0.25085113636455 0.233550584830069 0.237996931742276 0.240634222820194 0.260919601635423 0.251150477286106 0.246310844016277 0.250665055296168 0.24059403779333 0.250578655957837 0.24838866554485 0.241829141326323 0.0563537257807362 0.055634766182297 0.0577724594082742 0.068671664724011 0.0547383468765508 0.0606051568428745 0.0535119316231853 0.0594760026898477 0.0649938101760569 0.056427803218278 0.0622348027158402 0.0538959555493309 0.0577653673881321 0.0599292827990282 0.0541246743073087 0.0535972396475309 0.0534963522259068 0.0612492612390413 0.0590859288478827 0.0542055298024446 0.0659691055468332 0.0630296783271976 0.0620216824500711 -0.131358714364168 -0.124154796454022 -0.125377246973939 -0.128044730139764 -0.130064169080079 -0.130055256188568 -0.127742060719153 -0.122212719915492 -0.132883869286922 -0.131831520096827 -0.130220423497963 -0.129580252564316 -0.131567075852617 -0.125581877428647 -0.126022551882507 -0.127510893389233 -0.133804874382245 -0.132503700282595 -0.13065046308858 -0.125998100348987 -0.129210860852241 0.0670034842946435 0.0594485149820478 0.0557135606377915 0.0592849957737553 0.0596540555636021 0.0593565912019956 0.0545002351108232 0.061524662728596 0.0646162830239159 0.0589294124317868 -0.128497366562864 -0.129014766108992 -0.1311957758245 -0.127672756175768 -0.132216051092052 -0.126119555477441 -0.126774111544935 -0.123703092103098 -0.122859885264133 -0.127443178063777 -0.12909015061001 -0.127250303170367 -0.126432559303571 -0.129358510786644 -0.128126820750683 -0.130972734668669 -0.127226554083919 -0.136445893673892 -0.126057871655978 -0.126304774157727 -0.128681195904351 -0.126247232131019 -0.130098095443639 -0.122749308879184 -0.129978661153259 -0.130539206217317 -0.120224741486519 -0.131202026066561 -0.129244570481451 -0.12054377146361 -0.127219641867701 -0.12515554911198 -0.123842950505737 -0.130868082877453 -0.12943568081535 -0.128086362741756 -0.12795546850635 -0.119673657758145 -0.129507904853903 -0.124522017651071 -0.126167042321343 -0.128668235773493 -0.132152102684864 -0.128305773838208 -0.131090021360725 -0.129774468378424 -0.129675588731633 -0.129196054726823 -0.135550118301404 0.0178254569516277
HGDP00515 0.244279125636883 0.245489376893473 0.246908433640137 0.242445341307253 1.1437482855285 0.24883695315622 0.2409628682378 0.2524202181954 0.244112652047592 0.253842507405063 0.248363837677793 0.244257427853626 0.242754206080178 0.249089826351104 0.246460564539268 0.243728448515429 0.241433573902788 0.243356316673731 0.263325192828455 0.245499197746834 0.261666256953795 0.240815295766683 0.244124201834245 0.24650320087998 0.243870783833019 0.0579181570039533 0.0641576913234276 0.0589120121142321 0.0595455575498847 0.058699375155372 0.0648261682794922 0.0515386030607365 0.0604573673315475 0.0599974013474559 0.0514810411515344 0.0613380357711011 0.0546872483099043 0.0500517651447042 0.0562800616000592 0.057658248852008 0.0572954998882354 0.060404995533309 0.0594182747862898 0.0583521477525988 0.0519248290105855 0.0638126367077347 0.0544525501040826 0.056146300505035 -0.133053580121476 -0.12712350629598 -0.124491745026389 -0.129651732285947 -0.126878288389978 -0.131417105460316 -0.126793485226223 -0.123601918151808 -0.127909648884357 -0.126474006864749 -0.125343563521146 -0.131193854374834 -0.129280385811875 -0.124947989170682 -0.131070694299057 -0.129769716454629 -0.131221334022409 -0.12876725759992 -0.131602220446642 -0.125381415357848 -0.125009558859633 0.0646767739762953 0.0565779008367651 0.0534643235795397 0.0599734010485576 0.0571184891971335 0.0551851051406382 0.0561169500619997 0.054926906660296 0.060249851910181 0.061388660367466 -0.131794173429339 -0.129583305585735 -0.132191801592086 -0.129607583469609 -0.125817654522371 -0.134664501813477 -0.128366788016235 -0.131405965279514 -0.120874607720594 -0.130282201496633 -0.127801899418371 -0.130050171761644 -0.12646766387975 -0.128665629487362 -0.129287044195062 -0.126683046114135 -0.127057854993172 -0.134059380270887 -0.122944404652977 -0.128725328522226 -0.126410441349005 -0.131600539356115 -0.124763285861749 -0.129718204707804 -0.131496750331871 -0.128905829821373 -0.125790020712442 -0.13043392285372 -0.128159953172004 -0.126013905893084 -0.125255811136295 -0.127117924585968 -0.12003564838565 -0.132618299700788 -0.123453633202683 -0.127737346962977 -0.129468298119047 -0.123769725190249 -0.129192654078731 -0.124646679566767 -0.12981515847753 -0.129315741230235 -0.129962648805078 -0.128410272831154 -0.119840459178599 -0.130181624046346 -0.13217186638966 -0.125806619715799 -0.129374146289032 -0.0222424379436731
HGDP00516 0.246863545989238 0.246541695390972 0.250638586947794 0.248295677264289 0.24883695315622 1.15818018224031 0.244204058094561 0.24587620310349 0.245808529301923 0.246894365862911 0.243558054781028 0.25586849064854 0.244456813773891 0.255570284431662 0.240694104867853 0.243472642981104 0.239174804449264 0.254587118557686 0.255671288071155 0.236933178107294 0.252907167273176 0.244935678697768 0.246922868333661 0.245863778522656 0.241914098734656 0.0533893952286695 0.0568816353771584 0.0578247107543151 0.0644296916218349 0.0519502810523306 0.0584849941215819 0.0487656731443487 0.0615527381043082 0.066705752520992 0.0568504462686848 0.0623297666266602 0.0569522802739397 0.0561743922356015 0.0606508505777634 0.0574961595679779 0.056598200991044 0.0600072358375366 0.0561962259039868 0.0636030351130883 0.0630297529474401 0.0620947567395354 0.0517978269879297 0.0545527401369382 -0.130116515434115 -0.130055137705891 -0.126088400582499 -0.134149827559977 -0.122381660657323 -0.129362707217637 -0.12252478290325 -0.123184315601998 -0.135043679041201 -0.126960177688352 -0.123670677319148 -0.129356301407405 -0.130266225699378 -0.123310250761833 -0.130690686432901 -0.126246413858075 -0.130521054845649 -0.126121556164706 -0.134359672836356 -0.128723484754677 -0.125130361364029 0.0619425878257327 0.0602091044143823 0.0558983218008437 0.0625992137695987 0.0551834570483264 0.0621562447028282 0.0568377063378083 0.0534400466690818 0.0603482297778339 0.070731207881668 -0.127340184585738 -0.13020798091868 -0.130142892943287 -0.129975402261709 -0.126429130174248 -0.127593883013657 -0.132085930373903 -0.129370968126973 -0.128047647698244 -0.130679993547021 -0.123113241790186 -0.127095958464661 -0.12937852188402 -0.132078431011967 -0.126798826155722 -0.129621434291775 -0.129516246693723 -0.136081018133479 -0.124919200379863 -0.131378396035955 -0.129807944773562 -0.126287177068271 -0.127217369515936 -0.128332994584637 -0.127841163496858 -0.134242143162462 -0.122142004774733 -0.130197992448853 -0.126870986165658 -0.122069128529812 -0.125112323077216 -0.129534122274549 -0.12544060054247 -0.126572804041228 -0.130557697920284 -0.123611567702819 -0.122210768061264 -0.121293313189792 -0.130877113660847 -0.130507163031858 -0.125406892534672 -0.12665358906398 -0.130939721893421 -0.126461572678124 -0.12713475466303 -0.128491399725684 -0.130783722254184 -0.131619822901921 -0.132220771805838 -0.0101903096088794
HGDP00517 0.254825349514195 0.247908736422034 0.237850288462949 0.248415527040288 0.2409628682378 0.244204058094561 1.15093881370519 0.247162392282596 0.246298246744643 0.246231691001308 0.246448717577744 0.243308223189583 0.241462428356916 0.251880856774653 0.243118893284144 0.243485310225401 0.251267524544488 0.252387076048577 0.248342165887639 0.2366914948273 0.255644166528569 0.241502435777776 0.243710452803741 0.248073760610524 0.24528663761961 0.0553455250104273 0.0519953962286695 0.051765893597014 0.0645804441498594 0.0587962752458443 0.055043297709552 0.0499384727525041 0.0559412889362932 0.0655181846037457 0.0620018221145005 0.0559962912039989 0.0537258920526606 0.0588210539218265 0.0587449214603073 0.0537310203454975 0.0506531252761344 0.0584156257819316 0.0516374912060707 0.0516113606243207 0.0504814321913819 0.0564719924204517 0.0547230469282111 0.0594918053716447 -0.126300330166841 -0.126459055756638 -0.126558699462916 -0.12765675377356 -0.128165497978485 -0.125128146788862 -0.122856523726655 -0.122958809790458 -0.136796276236497 -0.128752899570248 -0.122043886021523 -0.12579917922609 -0.126887297492671 -0.127841744603332 -0.124923577826911 -0.1218489710502 -0.127721583912637 -0.127131567275969 -0.129111111787317 -0.123320239647607 -0.122274411701518 0.0572875364443049 0.0604653132996379 0.0539075617420373 0.061326572989888 0.0477667334951264 0.0538681792788626 0.0584786511639362 0.0516015119999276 0.0489739020418416 0.0621247637099167 -0.119367869606557 -0.132866630158471 -0.132010699086119 -0.123033106459867 -0.128118898041791 -0.12870498298983 -0.125852810799568 -0.124440360963029 -0.124048669127601 -0.12734544475444 -0.125844903072972 -0.123217852094054 -0.124092174986934 -0.129095470893941 -0.128367449461629 -0.127318323315416 -0.132582056435665 -0.131330862004327 -0.122551272968599 -0.127274245221664 -0.127153861085768 -0.127547078618539 -0.12206289351753 -0.12348160285649 -0.128751231453104 -0.125486852533149 -0.116921881270017 -0.128527515357708 -0.129670686612489 -0.126003772358516 -0.128510510945941 -0.125920640650236 -0.123941892925586 -0.128024230008093 -0.122526791185704 -0.128093502369171 -0.129284194537547 -0.122540866921779 -0.12389172214581 -0.126078621934984 -0.124778127880091 -0.121384927609915 -0.126936857232308 -0.132285207517199 -0.128765608754476 -0.128761488387907 -0.129960135729457 -0.123719491667833 -0.131395371038546 -0.0132865630728498
HGDP00518 0.251547677108683 0.250175018369417 0.245928099159438 0.240821527581739 0.2524202181954 0.24587620310349 0.247162392282596 1.15519316261741 0.251290844437454 0.245969820830017 0.248238204363874 0.248455832493687 0.254974140637643 0.253256649706498 0.241050969884284 0.23918440543012 0.245163639108007 0.25311972713358 0.254825448064171 0.241910210760557 0.242568019135839 0.242166965260483 0.246157300731573 0.24193485801851 0.251726398032432 0.0558077085766507 0.0551225331859675 0.0578731987723892 0.0634231342389911 0.0511182681700132 0.0534055651249445 0.0545670889220841 0.0577851117370197 0.0586579147845807 0.045892533858153 0.065189651311034 0.0503486294947435 0.0526832480556559 0.0569568448809674 0.0468361792595717 0.0538063286224292 0.0566979531745327 0.0646876408808399 0.0550853927393656 0.0618325250412953 0.0653341553653697 0.0534263139864281 0.0547441173783097 -0.127229256987404 -0.128090696886533 -0.125346113745539 -0.128949872864776 -0.12343445095609 -0.126703795291045 -0.118809022248132 -0.122116307855826 -0.134075965056281 -0.130494123260863 -0.12434664104174 -0.124296442887644 -0.128453695252487 -0.123120145488731 -0.126439317329814 -0.125209669325614 -0.133149846300772 -0.130204745127682 -0.136775690270067 -0.128488345655218 -0.126575385197997 0.0605440043752032 0.066865550409203 0.060902770658538 0.0552057929081551 0.0525995319519718 0.0575072178357425 0.0631403750313131 0.0642118391771727 0.0650164528876325 0.0608957614293382 -0.128027555400776 -0.127528249988419 -0.134583931101504 -0.131637788209861 -0.135694072965109 -0.125978575566146 -0.122334913759389 -0.134703888735995 -0.126977879964007 -0.12948021245388 -0.124577027045713 -0.12636795107064 -0.123907476442741 -0.129415361686213 -0.128481747298015 -0.127199784275074 -0.132127660220962 -0.129658218229333 -0.131566457939086 -0.128066181867628 -0.129282158682724 -0.131773248205116 -0.132691195144311 -0.128148186418107 -0.129155094437634 -0.130143825351541 -0.120535477938774 -0.132746344856053 -0.131379506299434 -0.126047094962733 -0.122049698509585 -0.133228078194177 -0.128993004019334 -0.125258382056727 -0.126936513725668 -0.129596017749493 -0.1276220368926 -0.127092663534207 -0.130050299339064 -0.127460175234016 -0.125669825308973 -0.129949089803217 -0.129811777161597 -0.128590676325103 -0.121320930216747 -0.13005159175835 -0.128218526661547 -0.130438982606938 -0.12937946247632 -0.00603875683091798
HGDP00519 0.253196084849906 0.246420687101432 0.251240055405367 0.251498080917148 0.244112652047592 0.245808529301923 0.246298246744643 0.251290844437454 1.15468168792067 0.263829326143512 0.248132455062954 0.25298320257774 0.248167229654501 0.253482570055533 0.250020311289507 0.247870416707232 0.245464179006473 0.252967683968217 0.248852314138129 0.245471370287739 0.252129503378647 0.241715729084925 0.247610323502514 0.245122364209126 0.248144297835661 0.0552640633805174 0.0636095993413808 0.050111734192267 0.0649677579798977 0.0565304493226497 0.0568491374569638 0.0514649460245686 0.0612200538141336 0.0618183876705447 0.0552636721123208 0.059253810003683 0.0573205784961205 0.0455566991018543 0.0528842289891012 0.0571822445189752 0.0542246448160121 0.0644953043346175 0.0576945750078172 0.0562132723751218 0.054686793784713 0.0569729280478844 0.0586879350859374 0.0563975373913876 -0.127858808295627 -0.124479316092858 -0.125776016390197 -0.135120372002331 -0.124453452492904 -0.126288093585372 -0.12935635813012 -0.122667559975866 -0.137274490151075 -0.128789703625707 -0.125009767809941 -0.130206889638138 -0.130286145170501 -0.129605257840979 -0.122448735131564 -0.128723361206825 -0.136809822866332 -0.126563260400578 -0.12947479886174 -0.123638088787868 -0.128888278696972 0.0612044807653183 0.060264285813054 0.0540187656082663 0.0616947957001927 0.060307162826306 0.0578411409576537 0.0561239483246851 0.0556066377103774 0.0626349473083251 0.0641569064510477 -0.130034042025956 -0.132809719473923 -0.131092254551327 -0.126574505106775 -0.131944264984913 -0.129488820651796 -0.123505218463476 -0.125655783226037 -0.128241164411309 -0.134353469738347 -0.128548907410761 -0.133459938042649 -0.125281837013831 -0.129935608621251 -0.131931792299021 -0.123321414625852 -0.132361922550098 -0.128636914724784 -0.128225293156554 -0.133341055841652 -0.128547932579518 -0.126834551485787 -0.12909949791932 -0.127123243609632 -0.13193247905212 -0.135035591796515 -0.123442177733118 -0.131661775595826 -0.128652140943038 -0.131485406751627 -0.129888645237387 -0.133262951118671 -0.131542717736434 -0.129612143646751 -0.126930807912916 -0.126944188285681 -0.128761279552407 -0.13229870174657 -0.131394408709702 -0.12659050788626 -0.129595737262354 -0.131705659863776 -0.133393240654904 -0.129044025774716 -0.12804613167009 -0.129440579739459 -0.127586809172805 -0.128483363250849 -0.126981054800975 -0.00154708757612863
HGDP00522 0.249453230928027 0.250487009086453 0.245277074460337 0.258675069366194 0.253842507405063 0.246894365862911 0.246231691001308 0.245969820830017 0.263829326143512 1.16006619930961 0.260748759360656 0.249441177577514 0.248296966405665 0.25419638180604 0.252363825243055 0.249237618073562 0.251994280705488 0.25863810140802 0.251356911147747 0.254911336465782 0.249011498985312 0.245531004615936 0.245160631748472 0.249840055448224 0.248841447557736 0.0637640936483278 0.0632208398276912 0.0557126286659873 0.0588047328241586 0.0619959960714473 0.0702600260162603 0.0621657360068956 0.061731345723784 0.0670185496337588 0.0579181719298185 0.0629859790003428 0.0636883694305281 0.0571535890721414 0.0569714248509715 0.0645844171766405 0.0605730771888856 0.0611263198959192 0.0592208586789428 0.063168505478291 0.0605667322628622 0.0612640501918873 0.0562026434899406 0.0659281582035377 -0.137304290214761 -0.129777676972161 -0.125167434479423 -0.131631984852354 -0.133481825644456 -0.131335643543051 -0.123682775655193 -0.124977938780981 -0.131009139834125 -0.131795535571899 -0.130701755832379 -0.127692957586293 -0.129679270101882 -0.129747362878819 -0.128861733956048 -0.129622617223263 -0.138654632594468 -0.130419473022694 -0.131285266091854 -0.132099171294214 -0.127364945116008 0.0660964590461513 0.0637917446254523 0.0586240805394619 0.0620269577029654 0.0629648997945107 0.0621636633620882 0.0635101602792515 0.0637303464069501 0.0548788020762355 0.0637352431511762 -0.133252626344545 -0.13258050953437 -0.136769088929291 -0.120291996285974 -0.136500698143545 -0.132968275478008 -0.127982405211494 -0.127284171128296 -0.131414147550544 -0.133110977941412 -0.126956903229255 -0.13296109513914 -0.133970660471995 -0.130012464826438 -0.128946923747397 -0.129000476555547 -0.132599785925929 -0.132844472606752 -0.129094678018387 -0.131788568010055 -0.136144402133337 -0.130226330554106 -0.130957870616953 -0.134231187999457 -0.134847021186792 -0.13731607485786 -0.128870821228595 -0.134545711876424 -0.136651656658502 -0.131556015860394 -0.129384728685626 -0.130966002643732 -0.13027056374353 -0.133778870776003 -0.132715425739189 -0.138362049673671 -0.134215701498864 -0.129832848050829 -0.130355609975828 -0.128314374127185 -0.130375246599695 -0.133367235138429 -0.131209266665178 -0.133100135002837 -0.128409109423888 -0.131835624680883 -0.135091217614279 -0.130551525591625 -0.128869533503536 -0.024237547180188
