HGDP00511 HGDP00512 HGDP00513 HGDP00514 HGDP00515 HGDP00516 HGDP00517 HGDP00518 HGDP00519 HGDP00522 HGDP00523 HGDP00524 HGDP00525 HGDP00526 HGDP00527 HGDP00528 HGDP00529 HGDP00531 HGDP00533 HGDP00534 HGDP00535 HGDP00536 HGDP00537 HGDP00538 HGDP00539 HGDP00774 HGDP00775 HGDP00776 HGDP00777 HGDP00779 HGDP00780 HGDP00781 HGDP00782 HGDP00783 HGDP00784 HGDP00785 HGDP00786 HGDP00811 HGDP00812 HGDP00813 HGDP00814 HGDP00815 HGDP00817 HGDP00818 HGDP00819 HGDP00820 HGDP00821 HGDP00822 HGDP00920 HGDP00924 HGDP00925 HGDP00926 HGDP00928 HGDP00929 HGDP00930 HGDP00931 HGDP00932 HGDP00933 HGDP00934 HGDP00935 HGDP00936 HGDP00937 HGDP00938 HGDP00939 HGDP00940 HGDP00941 HGDP00942 HGDP00943 HGDP00944 HGDP00971 HGDP00972 HGDP00973 HGDP00974 HGDP00975 HGDP00976 HGDP00977 HGDP01021 HGDP01023 HGDP01024 NA18501 NA18504 NA18505 NA18507 NA18508 NA18516 NA18517 NA18522 NA18852 NA18853 NA18855 NA18856 NA18858 NA18859 NA18861 NA18862 NA18870 NA18871 NA19093 NA19098 NA19099 NA19101 NA19102 NA19116 NA19119 NA19127 NA19128 NA19130 NA19131 NA19137 NA19138 NA19141 NA19143 NA19144 NA19159 NA19160 NA19171 NA19193 NA19201 NA19203 NA19204 NA19206 NA19207 NA19209 NA19210 NA19222 NA19223 NA19238 NA19239 SAMPLE
HGDP00511 1.16638551530307 0.254184212943332 0.244729672367371 0.24909188334089 0.249493037931611 0.252363100087602 0.26032892882366 0.253697666118641 0.265829727776247 0.251643335914161 0.259854377135873 0.253695330101601 0.2595293173026 0.249705872061457 0.255131779932594 0.250665358868957 0.247925255458216 0.246143748853119 0.26815565598837 0.252272787142406 0.258044366076436 0.252486565324771 0.251898277709177 0.25154259700984 0.260920590722781 0.0529160184818645 0.0480867229459218 0.0457065522921507 0.0603734125764332 0.0576163304517477 0.0596224956752975 0.0557589074646217 0.052466866172399 0.055652781573854 0.0533367434368503 0.0634081220820398 0.0554636920143231 0.044747665291922 0.0570408506528082 0.0526685488464683 0.0622087678768344 0.0598907251898594 0.0565973695743656 0.0474327512963686 0.0467118323564697 0.0602950950576432 0.0566709102317769 0.0471136730928671 -0.132630950241573 -0.127133174254008 -0.13041810338953 -0.137163069798786 -0.132814355527804 -0.128810067601678 -0.124162632635043 -0.125504164193513 -0.124916942514597 -0.124106258794438 -0.126605914247088 -0.132861191571583 -0.135440223355768 -0.126159366253901 -0.128264042232505 -0.125646831219041 -0.134607662207855 -0.128198676316089 -0.124599002580747 -0.129440471951876 -0.130521225981988 0.0586718607066589 0.057183198253744 0.0520013014577972 0.0566053080988404 0.0563419538102799 0.0547116686693566 0.043668241123151 0.052304840323096 0.049365571601481 0.0578882311144896 -0.121213341647465 -0.130237973906763 -0.137554806970861 -0.133745407221236 -0.130146402333179 -0.124798259476546 -0.118699215290795 -0.126948022168466 -0.124814414692844 -0.133787030932774 -0.132117883327226 -0.129545343326074 -0.123768151923806 -0.130207366690288 -0.129034735206179 -0.135151024152371 -0.130936910566256 -0.135166408856638 -0.131603016332456 -0.130375314187021 -0.134129249730494 -0.126209567698471 -0.128468189197371 -0.135633028035418 -0.12654361530472 -0.130843437900618 -0.123216955455228 -0.125759345601831 -0.126829065706782 -0.126772475277856 -0.127226799682362 -0.134536178218197 -0.134188521365364 -0.12818156094567 -0.129571277790208 -0.128725450637225 -0.125527315188501 -0.127733791001051 -0.127641973951225 -0.135290943119609 -0.125139549699445 -0.126120467900824 -0.129604596804225 -0.13361544957695 -0.123795354604773 -0.130726586880395 -0.126330641241101 -0.131689264602635 -0.13035396275273 0.155126970356025
HGDP00512 0.254184212943332 1.18508811234 0.246651301230046 0.250402508753699 0.249838527628246 0.254098534937737 0.252619344183142 0.252583284617475 0.249712034100507 0.248467504305529 0.251324882833844 0.247954565499315 0.246243970688337 0.248956244665832 0.257893323691188 0.246628282646298 0.243307862833288 0.255742523800049 0.260457917196994 0.251102278709944 0.255071985465989 0.239410528068966 0.248978050474001 0.245514112239421 0.259306622220852 0.0565158906373033 0.0505281417458672 0.0569543987484016 0.0585789607341922 0.054298375292977 0.064845277804031 0.0566232318877922 0.0619029400118109 0.063343788588239 0.0559597151367131 0.0548786632979365 0.0489561776149801 0.0490258131913625 0.0606686705889885 0.0524139394772114 0.0557131879902573 0.0563515423539913 0.0521271022997038 0.0516927670823652 0.0521290141447719 0.0583725406913002 0.0568613745930831 0.0534561194829761 -0.127272848397611 -0.131146578517621 -0.126177972248686 -0.13161536463213 -0.126285935034675 -0.134041656067544 -0.131820387072658 -0.122212027849188 -0.128859969388349 -0.136979793635452 -0.129374696403736 -0.127859254024475 -0.126452272529307 -0.1312174947788 -0.124543327676618 -0.123507203699898 -0.130233445350382 -0.126175236624662 -0.134892851728528 -0.127183587776987 -0.119100337175042 0.0615298694613491 0.0557209578517109 0.0559768019021313 0.0572129454042429 0.0536363964034031 0.0552012023887051 0.0456678776662798 0.0571509406922408 0.0520189722348076 0.0560360065917214 -0.125138548553312 -0.13441414892549 -0.132391816717974 -0.130293032085215 -0.12978784952611 -0.124941157602055 -0.121985834000553 -0.127446626087237 -0.122708632771389 -0.132623332172686 -0.124934255863515 -0.132334238725786 -0.129537232521632 -0.139235017703849 -0.12799380174445 -0.121743635460212 -0.126677089984552 -0.131726911421938 -0.121155913342216 -0.12498139681363 -0.134658797851567 -0.129893753470501 -0.129710986316589 -0.127789332232007 -0.132631250993441 -0.134922541639424 -0.118775624486386 -0.12582699619155 -0.128875795600721 -0.122808543551501 -0.120773013966955 -0.134344042796317 -0.124229889968293 -0.130237836408577 -0.12731593684061 -0.130110830017177 -0.129820888105489 -0.130992700036098 -0.126482335896211 -0.12864304896592 -0.126926164061035 -0.133244622777522 -0.132072451496736 -0.126157873108651 -0.129165037199187 -0.129832675178375 -0.122248089000133 -0.121986414404877 -0.130050310781591 0.150356751311412
HGDP00513 0.244729672367371 0.246651301230046 1.17164534369331 0.249013254431595 0.24528521914441 0.247497463970488 0.239981539637961 0.248406598402655 0.255223881127989 0.251852850575233 0.254059658809716 0.242645510384144 0.235359937885251 0.239706846751054 0.238617244679274 0.240393196298581 0.245340850531169 0.24259814420134 0.259335079724535 0.230308710483387 0.250419083131823 0.233046156994258 0.241338811118327 0.244463139298763 0.253126510769882 0.0485538808585907 0.0519371483142294 0.0516373113292864 0.064226854274045 0.0613737933568686 0.060761058597391 0.0529171718099272 0.0609688099961582 0.0539621949172558 0.0575789913484954 0.062572983333692 0.048735777568735 0.0539524814884825 0.0495195099250644 0.046679186313439 0.0558142479213354 0.0510886390844615 0.0535828444892654 0.0475670682739646 0.05231405088973 0.054880553741912 0.0541185173488922 0.0512895934356943 -0.129551097794236 -0.127458830543385 -0.125417219475148 -0.127377105312591 -0.127571583652611 -0.128095403882251 -0.127454556831011 -0.113073929807759 -0.126332476399264 -0.123383506434099 -0.121725306924282 -0.118485197353508 -0.132952835154277 -0.120573618056805 -0.125436669711118 -0.128916805087888 -0.136242348505055 -0.119570247052852 -0.130371854847487 -0.127404571041656 -0.125861210101312 0.0577329064559702 0.0497020079131533 0.0484680517512147 0.0494842808148479 0.0519251043216541 0.0502772500671257 0.0559238898913921 0.0550945144024667 0.0609054158167762 0.0628830092726681 -0.119254581752869 -0.125742307107473 -0.131548507706608 -0.129510237705592 -0.124629357742754 -0.125610702787098 -0.128427273500367 -0.125630934660172 -0.121344515439137 -0.131793228974745 -0.119891495913396 -0.127046460958805 -0.129207617870034 -0.133198931393545 -0.128027573524474 -0.126693256082385 -0.132076285798302 -0.130662687017458 -0.129786431863867 -0.118757446128789 -0.122144814513956 -0.127211453014372 -0.123183016362031 -0.125989735850056 -0.126692138430905 -0.131027777643658 -0.11922094189022 -0.121521737493022 -0.127100455161279 -0.127830848037364 -0.121686855128763 -0.131943870520055 -0.126252018742338 -0.12994178256514 -0.130441796029199 -0.136584307562275 -0.119278749058654 -0.11956015300681 -0.134603501541119 -0.130428559142923 -0.121841547293582 -0.124250139873063 -0.128253933087805 -0.122391341854696 -0.123430517352316 -0.121945940544364 -0.123651606301525 -0.125145999135589 -0.12892741408223 0.148328498337622
HGDP00514 0.24909188334089 0.250402508753699 0.249013254431595 1.22056479033668 0.250251214213052 0.250932435456876 0.256855134545356 0.240240577099546 0.253747726648955 0.260747053156295 0.261044762431826 0.25781078872743 0.246665542511872 0.260016364326556 0.23684669814746 0.248484949102208 0.241146802625397 0.255178132796325 0.262468983356292 0.256041109912249 0.255002083640876 0.246704968204568 0.25780707232654 0.243960949988032 0.247216702219269 0.0557443683759136 0.0566262900662727 0.0569762491798605 0.0659342191500247 0.0532173200292808 0.0604502302754015 0.0512286465482947 0.0579646808236605 0.0680364718190699 0.0597599373438297 0.0649962481168675 0.0502284395071836 0.0605935909660309 0.0585899785797824 0.0592641058155402 0.0575270676094924 0.0513393159069973 0.0590896100206589 0.0605299682582243 0.0522776245579435 0.0644641274502498 0.0641094192227369 0.0556905885940568 -0.134961583964413 -0.126018646517681 -0.126941794880405 -0.12721927290183 -0.127009384423735 -0.134568087957045 -0.130540364729886 -0.125789746126888 -0.13518421137999 -0.136472849302657 -0.125335137976073 -0.129636160028053 -0.134127100322921 -0.127865987697518 -0.125847985656259 -0.135994492935208 -0.138412473370643 -0.133637478511893 -0.13449547300853 -0.124967482866491 -0.133337163629127 0.0749575313386652 0.0598493821156471 0.0529167053815568 0.0605184604598014 0.0563462824302299 0.0603270581014354 0.0553764366117301 0.0618993603005023 0.0630002771490509 0.0590136648563002 -0.128411126494147 -0.131477794359299 -0.134567975415971 -0.131496128273767 -0.136394567124758 -0.126808767276933 -0.128460749275735 -0.121733351456369 -0.124592392121129 -0.130167952905018 -0.129661298402724 -0.126049090278913 -0.129623920465265 -0.133094761442544 -0.133422909572917 -0.13590460217653 -0.133444158512914 -0.137395558932981 -0.129910826075801 -0.123314876193607 -0.132268214985291 -0.128832446749215 -0.131832836944093 -0.127950813021917 -0.132620664603004 -0.129997493293342 -0.123867462152011 -0.130290061501583 -0.132009750741652 -0.120083916383138 -0.127081769497546 -0.131177588841841 -0.121605258675556 -0.131405150091762 -0.122790365908074 -0.131937604696392 -0.129099258176972 -0.115119536751969 -0.126219365648246 -0.129996590825777 -0.125594984936982 -0.131772969428621 -0.130760291626435 -0.131201739240036 -0.133770208951202 -0.132600750781898 -0.131711817666914 -0.135287908649886 -0.13931120361412 0.163489659226425
HGDP00515 0.249493037931611 0.249838527628246 0.24528521914441 0.250251214213052 1.16609710952826 0.255772560487683 0.247173735415285 0.252376899496379 0.244172234867204 0.25745741398423 0.257038540206302 0.247464881835904 0.249722543084468 0.249596614286189 0.246972147804154 0.252655643767914 0.240322844897684 0.247338952488911 0.265352374597285 0.249977266862595 0.262386863671397 0.243445873665725 0.248930545380533 0.251365163330775 0.251235028821429 0.0577436148570112 0.0628807827706414 0.0625808222061433 0.0562764407944422 0.0524185641469948 0.0640156989378516 0.0545514879233042 0.0611313560320663 0.0584432794272987 0.0477586379867654 0.0595478951774127 0.0559314378816753 0.0459166029407137 0.0585519631044468 0.0608841057022671 0.0577783185254992 0.0572463001403019 0.0606270770009021 0.059271977760543 0.0528129297981875 0.0595673839228589 0.0591179603940092 0.0545686789244903 -0.132484527292698 -0.129957825750743 -0.124232614075842 -0.131778637173297 -0.129489508320421 -0.133826869200418 -0.125915590555166 -0.122485870510631 -0.130626676643113 -0.130716697159309 -0.129030614847307 -0.126304301799571 -0.130582892405764 -0.129879450861434 -0.136176551687367 -0.132029950543544 -0.130341248535904 -0.128721631901777 -0.134033517276272 -0.126435828452153 -0.12667987957724 0.0658285917987449 0.0530723822531181 0.051427596096508 0.0614011052294996 0.0575710497011447 0.0518913551311694 0.0537760511737368 0.0499725250400896 0.0621784516211377 0.0555320018612698 -0.126441746578181 -0.130707321758562 -0.134389991059872 -0.133366184487156 -0.125761543588044 -0.135850792074341 -0.122951277958119 -0.126992805557469 -0.121613997913088 -0.134176351036798 -0.131335431144787 -0.129115258895631 -0.127335679833646 -0.131643431352579 -0.131341049420497 -0.126476183761055 -0.12828649059135 -0.134183404137443 -0.123425436567681 -0.12510234508775 -0.126084169454887 -0.123653909984217 -0.124388892761713 -0.128704775481148 -0.132698774667467 -0.130991034005828 -0.130873638658083 -0.134400966451221 -0.128430965911448 -0.127657796770776 -0.129394687021351 -0.135407769653638 -0.126895221420727 -0.134187354959187 -0.125460313447838 -0.126637965099846 -0.130820930525772 -0.128652841291931 -0.131847931424933 -0.11975091466431 -0.130297703461483 -0.128588435195907 -0.135155953319024 -0.133590323699719 -0.120022802733218 -0.125146106609918 -0.129624488206628 -0.126851566855268 -0.131509588676947 0.148545699018502
HGDP00516 0.252363100087602 0.254098534937737 0.247497463970488 0.250932435456876 0.255772560487683 1.17616231196504 0.25340388574297 0.248370365496529 0.247201280442436 0.253505296738682 0.247041627420178 0.253570194479958 0.249465654746802 0.258074620274277 0.242650524198962 0.251058344423671 0.242773810931749 0.260902561968496 0.255836122830873 0.238109686933612 0.256561077040383 0.244926092246088 0.254586815743311 0.248572774875115 0.248333993665403 0.0511370974311456 0.0599629918157654 0.0581268714863545 0.0599781071746803 0.0513895219804619 0.0602898138936626 0.0530899583250253 0.0615895993314893 0.0645315526844582 0.0588992104327901 0.0681182421506008 0.0529295066026787 0.0558215255684379 0.0638293792509005 0.060266747512797 0.0573686009928811 0.0618087524885537 0.0550170983210472 0.0591411441396485 0.0631348375351074 0.059116989472893 0.0516581890861792 0.0569359892791051 -0.130768859349595 -0.129932327779094 -0.128191200758274 -0.136568123314024 -0.119729116667198 -0.132421657469479 -0.12851141835588 -0.125930378178952 -0.137128339487674 -0.130131577203701 -0.118785032728314 -0.125719936100239 -0.137233104211071 -0.127254319027571 -0.130554658992077 -0.130458729239748 -0.130488366039192 -0.124728603033089 -0.137602780453357 -0.127648957552086 -0.124568121085205 0.0590075076591293 0.059243906470586 0.054455339796097 0.0574733642329892 0.0567360027527777 0.0593391817349956 0.0523483716508015 0.0510428626821815 0.0623567476634021 0.0675851611219426 -0.12665445439281 -0.131757335703115 -0.132408373882288 -0.133444935366655 -0.1308713201106 -0.126041974403135 -0.131277905335303 -0.13062023381021 -0.130287438940993 -0.133391890142147 -0.129765042584418 -0.130124408123708 -0.131384015146342 -0.141845221800726 -0.127686201096465 -0.132990726335269 -0.130148453928225 -0.138353823078129 -0.125830442472456 -0.131170826303198 -0.127882514342752 -0.126486036137284 -0.129074370558449 -0.130639158739535 -0.131532994351585 -0.137860389060935 -0.127481820267954 -0.127528406391903 -0.128840199517433 -0.121153013906599 -0.126910780834328 -0.132107122714742 -0.123041209293646 -0.124341210644142 -0.127844260514778 -0.122568240335035 -0.122262426104961 -0.124215991931839 -0.128797593816151 -0.131119338594303 -0.12699911525565 -0.131622988979064 -0.131203761259689 -0.126224233904646 -0.125996166435247 -0.124209508172762 -0.12744553019314 -0.133234646634202 -0.131390333618564 0.147491794954814
HGDP00517 0.26032892882366 0.252619344183142 0.239981539637961 0.256855134545356 0.247173735415285 0.25340388574297 1.18048170437973 0.255901357715291 0.255066646790311 0.2506540092084 0.25312313305192 0.249583778162444 0.244854241461792 0.260402603334862 0.248976906782763 0.245882245067131 0.254390194475335 0.261399419649305 0.25652797735545 0.245866448097311 0.266799339192023 0.245095210326152 0.247275043928817 0.257835765716992 0.253792853916741 0.0590178968171506 0.0512169992801201 0.0511318592522387 0.0589138964085601 0.0553487981960263 0.0573669162041841 0.054195939145769 0.0537260081191488 0.0620785147626295 0.0634640086253586 0.0514558230667691 0.0534700440222812 0.0563969452703324 0.0608353657030726 0.0513714996292737 0.0477830158159611 0.0583910299455816 0.0480974400480619 0.0524461496762231 0.0534598099705796 0.0544897368279065 0.0557282219321985 0.0539779247380969 -0.127927952905123 -0.129232959906237 -0.12391487111787 -0.130130784101542 -0.127820663522331 -0.129446091547077 -0.126650213424881 -0.125354506433602 -0.13858671502624 -0.129782972364817 -0.123743213853284 -0.12438878180174 -0.132124591271141 -0.128044658037255 -0.131925067317669 -0.126973137794613 -0.130987919273592 -0.127853189708953 -0.127576189753998 -0.124815409418441 -0.120154603668406 0.056767892998615 0.0552631370218899 0.0452857514931321 0.0574394454401691 0.0480966370060122 0.0511156799164971 0.0584994393121956 0.0510865816009038 0.0482944891938348 0.0596906785854674 -0.118860116054548 -0.136108704293767 -0.129996528264303 -0.125631206327393 -0.129696426564368 -0.133647000439245 -0.123612495986345 -0.119787106357428 -0.12344166276787 -0.127647337062441 -0.129995009355079 -0.124548323617945 -0.124692539292518 -0.133046552023365 -0.129332370174485 -0.129158113747738 -0.136616621728734 -0.136729207096527 -0.125146370070919 -0.130186068369673 -0.128015008297226 -0.124475828755934 -0.123816867435812 -0.128280608633747 -0.126912331634194 -0.13068505064243 -0.118329118647478 -0.129971186816491 -0.130001387048169 -0.125477980599379 -0.128864477512657 -0.133625972807893 -0.127271779149698 -0.129817127451579 -0.122623410877218 -0.130386166759932 -0.132067586068115 -0.123579023595547 -0.1237396691495 -0.132626194801507 -0.127285056986094 -0.12213344077003 -0.124578631131638 -0.139110836386546 -0.132816349274493 -0.128252234798821 -0.133462059371579 -0.125117272914273 -0.13321992507318 0.155183257757418
HGDP00518 0.253697666118641 0.252583284617475 0.248406598402655 0.240240577099546 0.252376899496379 0.248370365496529 0.255901357715291 1.18887811343095 0.253581816556491 0.253039004390432 0.253412955635756 0.253862738116726 0.260268122350748 0.253956624856011 0.244310165577731 0.242609832306686 0.241479586198106 0.250758156783038 0.257472425079449 0.245770370754451 0.245110743381074 0.246000159211112 0.24598804052109 0.245681125943687 0.254442563661744 0.0582199197963913 0.0538849785729213 0.0602308212321477 0.0597475980659927 0.0430711005975474 0.0505843702929231 0.0519202383758552 0.0550684470398487 0.0544440921114543 0.0428980587531502 0.0640681835819858 0.0487622347579774 0.0528479448043641 0.0553589263443196 0.0437663353895149 0.0522843771514307 0.0562092435053399 0.0673627218670649 0.0520775056247455 0.062590891896178 0.0577421921228535 0.0539674524491433 0.0522914133646189 -0.123626226706253 -0.12962118314691 -0.122989603655598 -0.130359577804746 -0.119077805026948 -0.12671599587954 -0.118759374620953 -0.122367405414786 -0.133729473375638 -0.131698830663612 -0.121564729439948 -0.120013993879772 -0.129946727919742 -0.122218927052963 -0.126109419675948 -0.12482391478569 -0.133746206757839 -0.127134696222003 -0.13961724983933 -0.129090971473459 -0.129432030015682 0.0573215417421018 0.065924945957137 0.0561834068973869 0.0502589828319133 0.0460187157232779 0.0524212224332505 0.0579031909196202 0.0631814309037079 0.061188418218725 0.0591606080914016 -0.120095883801946 -0.129193289672259 -0.133052747305081 -0.131576942679607 -0.13652956136901 -0.127358693772413 -0.115196812528085 -0.13834642859429 -0.127662454736125 -0.133185019608752 -0.125025002670975 -0.126534429615828 -0.12385344265263 -0.129789073910028 -0.127428416919563 -0.128047649739734 -0.132685325955238 -0.131662230255372 -0.12915779677798 -0.127541760959358 -0.134930979612806 -0.128955762490608 -0.133353211339847 -0.127193145018275 -0.132480923399704 -0.130558740044552 -0.122549414750373 -0.130679304219256 -0.133785351224391 -0.128081018369322 -0.11583536677422 -0.138213636982161 -0.132469504019584 -0.126657619901354 -0.123797911958353 -0.125377012450621 -0.127339360626895 -0.12540866735304 -0.126268305164142 -0.125710659543897 -0.12535208721075 -0.130433175141526 -0.125992894182956 -0.128924576605872 -0.122067800663086 -0.12977625964498 -0.126547209915215 -0.132036271285111 -0.134847610849019 0.153502534442123
HGDP00519 0.265829727776247 0.249712034100507 0.255223881127989 0.253747726648955 0.244172234867204 0.247201280442436 0.255066646790311 0.253581816556491 1.18722185809641 0.27135743528522 0.255877474293813 0.251732892281448 0.25090736135041 0.257960586340094 0.251161898309193 0.25048493812632 0.251717817607165 0.257851130355613 0.259833229309235 0.246446556582333 0.250987401060554 0.244259853135977 0.250948474039015 0.24792577691632 0.254367754746746 0.0501253259484555 0.0662722802880657 0.0498153542208441 0.0614628934552197 0.0541301039464713 0.0578488076658792 0.0497343028932793 0.0553484102931214 0.0627648897025501 0.0561094437299438 0.0551146099847708 0.0562908267984848 0.0413685003106295 0.047180585446225 0.0595370828659377 0.0478464896244895 0.0635605086023271 0.0577393222605354 0.0537008659757747 0.0551600116568606 0.0511822862971124 0.0586236398848929 0.0526020781000021 -0.129295229469819 -0.124128415890914 -0.12648785565675 -0.139615775385868 -0.12023457697268 -0.134236012036028 -0.132278738447196 -0.122565426520114 -0.138159405960223 -0.130188168167212 -0.125389943151965 -0.132679789851375 -0.13278171636769 -0.133896085524983 -0.122445127633256 -0.132171904113086 -0.133293095680088 -0.12289406542382 -0.130600676716194 -0.126196197449921 -0.130513802137808 0.0647194765106966 0.0589277027793788 0.0538524688229006 0.0589322974401807 0.0568122329613758 0.0550747236347476 0.0489521273112738 0.0485032933039176 0.0632107417942502 0.065865265605556 -0.126553189158377 -0.136746104199091 -0.134903722703811 -0.129851632950785 -0.13434648730316 -0.124536226326284 -0.121043791646693 -0.123064053751439 -0.126286450186284 -0.13698117931509 -0.132682113401875 -0.135062352820786 -0.122815410298005 -0.129472609170374 -0.135105706068086 -0.126582803229325 -0.134397258146812 -0.129027342381314 -0.131703108382365 -0.130897796691889 -0.130655139914304 -0.128008496870514 -0.130035153848817 -0.12525613604411 -0.133339190426513 -0.134942505408641 -0.12448559648507 -0.130859461029297 -0.127732568162947 -0.133428219635987 -0.130733600555105 -0.137352107820811 -0.133458245562782 -0.130034311300476 -0.125056538942089 -0.130346050110369 -0.127522880081951 -0.131315787508299 -0.128504213553889 -0.126725146544947 -0.126731568125503 -0.130808025254069 -0.137015422303441 -0.132480949041849 -0.129195654219053 -0.121533547009154 -0.12990211382061 -0.131195124247026 -0.131763914938662 0.160182449919979
HGDP00522 0.251643335914161 0.248467504305529 0.251852850575233 0.260747053156295 0.25745741398423 0.253505296738682 0.2506540092084 0.253039004390432 0.27135743528522 1.18102618002094 0.26904192122332 0.249249409859136 0.246832466557768 0.251454512165113 0.25338751297639 0.247322298527974 0.254788560676303 0.258957211992483 0.262804425873731 0.258653823919088 0.249479181711487 0.243716176854067 0.244504523452086 0.250390325931377 0.25495244024676 0.058768483416212 0.0604766616195774 0.0528339878308693 0.0555542588637467 0.0555438377015539 0.0685414011205969 0.0595093577798777 0.0585587408173171 0.0603737661715298 0.0512595825156687 0.0610814570098465 0.0588072509420647 0.0535481738200624 0.0515638855842908 0.057318221179527 0.056284911582754 0.061971381946736 0.0560257251795359 0.0601857229006168 0.0540268722888512 0.0503822031880622 0.0531277674517497 0.0633274351277938 -0.138549095559928 -0.132288501283029 -0.119646277492478 -0.133425842995787 -0.129879540616409 -0.131124615694059 -0.126835247577578 -0.12121808639522 -0.124641207684822 -0.134482318031688 -0.127368153673495 -0.119768774538715 -0.127126878377775 -0.128405705468602 -0.127991849730472 -0.130686685399902 -0.133769930554574 -0.124827264336042 -0.130855330393597 -0.136190303060049 -0.12615684383922 0.0675182315444642 0.0605399414890903 0.0504747881925841 0.0595237642250083 0.0589830916349218 0.0639529396597815 0.0573967930678924 0.0615144105920157 0.0509259743656146 0.0589688718962354 -0.127862148334434 -0.128888080258677 -0.140298858669985 -0.120828483115849 -0.140137305271799 -0.131830266139115 -0.126066431747476 -0.128927891537401 -0.131978136591151 -0.132960181730259 -0.131614885112011 -0.126427676126346 -0.132364940898845 -0.134200671334928 -0.128316779965231 -0.127970538534136 -0.129526730250696 -0.134264465799268 -0.12953150016123 -0.126176587939231 -0.134777732056998 -0.129706223780254 -0.133791385184529 -0.136097925219186 -0.137202526703751 -0.135866368629206 -0.131477982143652 -0.13084797583287 -0.13519892711695 -0.130993947447785 -0.130811535306377 -0.135991983853349 -0.131481937734355 -0.136629285757104 -0.131574501405361 -0.137081337863491 -0.132162435314028 -0.12893909345636 -0.130402547780552 -0.125053067955189 -0.128145748603687 -0.130786327899029 -0.128970571107449 -0.130051594491852 -0.12972471546771 -0.127346312391894 -0.132205572959687 -0.128410419126994 -0.130437996187167 0.14991416905396
